,formula
1416,"\Pi _ { 0 } = \frac { \partial { \cal { L } } } { \partial ( \partial _ { 0 } A _ { 0 } ) } = - G ,"
1417,S _ { N } = \frac { 2 \pi ^ { \frac { N + 1 } { 2 } } } { \Gamma ( \frac { N + 1 } { 2 } ) }
1418,"{ \cal K } = \sum _ { n = 1 } ^ { \infty } \tilde { n } a _ { n } ^ { \dagger } a _ { n } ,"
1419,V ( C ) = \operatorname { e x p } \{ i g \int _ { C } d l _ { i } \chi _ { i } \}
1420,"{ \cal M } _ { 2 } ^ { \mathrm { r e l } } = { R } \times R P ^ { 2 } \ ,"
1421,z _ { n } ^ { ( 1 ) } ( \gamma ) = d _ { \gamma } e ^ { - c _ { \gamma } n } \ .
1422,"\phi ^ { \prime \prime } + 4 \phi ^ { \prime } U ^ { \prime } = 2 \mathcal { V } ,"
1423,P _ { 1 } \phi _ { 1 2 } = \phi _ { 1 2 } \neq \phi _ { 1 2 } P _ { 1 } = 0
1424,\ell + \frac { 1 } { 4 } ( 2 - 2 h - t + h ^ { 2 } t )
1425,W = \pm \frac { \Lambda _ { F = 0 } ^ { 4 } } { \sqrt { T _ { 2 } } } .
1426,\Delta { \cal L } _ { 0 } = \mathrm { \it ~ C } _ { 0 } T e ^ { - D } e ^ { - \pi T e ^ { - D } }
1427,"( t + h x ) = ( t ^ { \prime } + h x ^ { \prime } ) e ^ { h \theta } ~ ,"
1428,"{ \cal A } \left( X ^ { \nu } \right) = p ( R , X ^ { 3 } ) d T T ^ { - 1 } \; \; ."
1429,S _ { b o u n c e } = S _ { b u l k } + S _ { f l a t } + S _ { d S } + S _ { v o r t e x }
1430,R \sim { \frac { C _ { 0 } } { l ^ { 2 } r ^ { 2 } } } .
1431,\Lambda ( \theta ^ { x } \otimes \theta ^ { y } ) = \theta ^ { y } \otimes \theta ^ { x } .
1432,"K _ { i } \stackrel { \sim } { \psi } _ { r } ^ { B } = 0 , ~ \varepsilon _ { r } = 0 ."
1433,\Xi = \left( \begin{array} { l } { \Phi _ { + } } \\ { \Phi _ { - } } \\ \end{array} \right)
1434,\chi ( M _ { 2 } ) = \sum _ { < v e r > } \omega _ { v e r } ^ { ( 2 ) }
1435,"\nabla ( g ^ { - 1 } \, \nabla g ) = 0"
1436,\hspace * { - 9 . 4 c m } ( M _ { L G } ) ^ { 5 } ( { \cal { O } } ) = \ { \cal { O } } [ 2 ]
1437,"\rho _ { q u a n t u m } \sim N _ { e f f } ~ H _ { m a x } ^ { 4 } \; ,"
1438,\gamma \equiv \gamma ( z ) = 4 \varepsilon _ { 2 } ( z ) - 4 \varepsilon _ { 1 } ( z )
1439,F _ { 1 } F _ { 2 } + F _ { 2 } \zeta _ { 1 2 } + F _ { 1 } \zeta _ { 2 1 } = 0 .
1440,\mu k ^ { \prime \prime \prime } + 3 \mu k k ^ { \prime } - \lambda k ^ { \prime } = 0 .
1441,\left( \begin{array} { c c } { a } & { b } \\ { c } & { d } \\ \end{array} \right)
1442,"A _ { k } ^ { \alpha } ( q , u ) ~ = ~ \Phi ( \alpha ( q ) , u ) \, a _ { k } ^ { \alpha } ~ ,"
1443,c = \sum _ { r = 1 } ^ { g } ( n _ { r } a _ { r } + m _ { r } b _ { r } )
1444,"\Delta = { \frac { 1 } { 2 } } [ d + \sqrt { ( d - 2 ) ^ { 2 } + 4 m ^ { 2 } } ] \, ."
1445,"\theta ( \lambda ) \leq 0 ~ ~ ~ ~ \mathrm { f o r } ~ \lambda = \lambda _ { 0 } ,"
1446,"J ^ { 4 } \ = \ x ^ { 2 } \partial _ { x } \ + \ r x y \partial _ { y } \ - \ n x \ ,"
1447,"[ \hat { a } , \hat { a } ^ { \dagger } ] = 1 ,"
1448,L = \int d ^ { 3 } x \epsilon _ { i j k } x ^ { j } T ^ { 0 k }
1449,\delta A _ { M N P } = \partial _ { [ M } \zeta _ { N P ] } .
1450,D _ { A } = E _ { A } ^ { M } \partial _ { M } + { W _ { A } } ^ { k p } M _ { k p }
1451,X _ { 1 1 1 1 } = 2 X _ { 1 1 2 2 } + X _ { 1 2 1 2 }
1452,| W ( \tau ) | = \prod _ { a = 1 } ^ { 1 0 } | \theta _ { a } ( 0 | \tau ) | ^ { - 2 }
1453,Z = \int d ^ { 1 0 } y e ^ { S ^ { ( 1 ) } } .
1454,\sum _ { \Delta X \in \Lambda } e ^ { i p \cdot \Delta X }
1455,"B _ { A } = \{ P _ { a } , M _ { a b } \} \, , \qquad F _ { \alpha } = \{ Q _ { \alpha } \} \, ."
1456,"\Omega _ { \rho } + \Omega _ { \Lambda } + \Omega _ { \sigma } + \Omega _ { \lambda } = 1 \, ,"
1457,\Psi = e ^ { i q \theta } \chi ( r ) \psi ( x ^ { \mu } )
1458,\leq \qquad 2 - n - 2 ( b _ { 1 } + b _ { 2 } + \ldots + b _ { r } )
1459,{ \cal F } _ { 0 } = 4 \pi \omega l ^ { 2 } \rho _ { + }
1460,"K ^ { \rho } = g ^ { \mu \nu } { K _ { \mu \nu } } ^ { \! \rho } \, ,"
1461,"\lbrack T _ { a } , T _ { b } ] = i f _ { a b c } T _ { c } , \; \; [ H _ { i } , H _ { j } ] = 0 ."
1462,W ^ { L } \equiv \int { \cal D } \phi e ^ { i S _ { \mathrm { e f f } } ^ { L } [ \phi ] }
1463,"\alpha ^ { \prime } \sim \epsilon ^ { 1 / 2 } \to 0 \, , \qquad g _ { i j } \sim \epsilon \to 0"
1464,"\lambda \rightarrow e ^ { i \alpha } \lambda ,"
1465,"\chi _ { x } = U \, * \, \chi \, \, , \, \, \, \, \, \chi _ { t } = V \, * \, \chi \, \, ,"
1466,g _ { M S } = g _ { \Lambda } + \sum _ { i = 3 } ^ { \infty } c _ { i } g _ { \Lambda } ^ { i } \ .
1467,"a ( X \sb i + h , X \sb i ) = { \frac { 1 } { h } } + O ( h ) ."
1468,"z ^ { M } = ( \xi ^ { m } , \eta ^ { \mu } ) , \qquad m = 0 , 1 , 2 , \qquad \mu = 1 , 2 \, ."
1469,\gamma ^ { \alpha \dagger } = \gamma ^ { 0 } \gamma ^ { \alpha } \gamma ^ { 0 } .
1470,"\left| \psi _ { a b } , \Omega \right. \rangle \rightarrow \psi \left( g _ { a b } , \Omega \right)"
1471,"\eta _ { 1 , \mathrm { m a x } } = 0 . 2 8 7"
1472,"S ( l + 1 , k ) = S ( l , k - 1 ) + S ( l - 1 , k ) \, , \quad \mathrm { f o r ~ } l > k > 1 \, ."
1473,"\xi _ { - } = \beta _ { 2 , 2 } C _ { - } ( + , + ) z ^ { 2 } \frac { \partial } { \partial z } ."
1474,{ \cal O } _ { l } = T _ { 3 } { \frac { \omega ^ { l } } { l ! } } { \cal O } ^ { 9 9 \cdots 9 }
1475,"| 0 > _ { E ^ { \prime } } \rightarrow e ^ { \cal B } | 0 > _ { E } ,"
1476,\hat { \Gamma } _ { 0 1 2 3 8 9 ( 1 0 ) } \epsilon = - s _ { 1 } s _ { 2 } \epsilon
1477,z _ { 1 } ^ { 2 } + z _ { 2 } ^ { 2 } + z _ { 3 } ^ { 2 } + z _ { 4 } ^ { 2 } = \epsilon
1478,"q ^ { \mu } { { \bf \Pi } _ { \mu \nu } } ( q ) \, = \, 0 \, ."
1479,( \Sigma - e ^ { - i \gamma } \overline { { \Sigma } } ) | _ { x ^ { 1 } = 0 } = 0 \quad .
1480,"[ \partial _ { \mu } , x ^ { \nu } ] = \delta _ { \mu } ^ { \nu } ."
1481,\Psi = - \frac { \kappa ^ { 2 } } { 6 } ( 2 + 3 w ) \rho \zeta
1482,"T _ { 1 } ^ { ( 2 ) } = - \, \frac { 1 } { 2 } \, \bigl ( \eta ^ { 1 } \bigr ) ^ { 2 }"
1483,< H > = \frac { 1 } { Z } \int D A \Psi ^ { * } H \Psi
1484,"B _ { \mu \nu } = - \frac i 2 \eta _ { a b } [ e _ { \mu } ^ { a } , e _ { \nu } ^ { b } ]"
1485,\vspace { 3 0 p t } \special { p s f i l e = 4 - 3 . p s }
1486,D \Psi \equiv \gamma ^ { k } P _ { k } \Psi = m \Psi .
1487,"V _ { 2 } ( x ) = - { \frac { 1 } { 2 } } x ^ { 2 } - { \frac { \mu ^ { 2 } } { 2 x ^ { 2 } } } ,"
1488,{ \cal F } _ { 2 }
1489,0 < \lambda = { \frac { e ^ { 2 } } { 2 \pi c \kappa } } < 1
1490,\langle \xi e ^ { - 2 \phi } c \partial c \partial ^ { 2 } c \rangle = 1 .
1491,"P = a , \qquad \kappa = b \, R - 1 ."
1492,"\Delta ( T ) = T \otimes T ~ , ~ \varepsilon ( T ) = I ."
1493,d f = d _ { h } f + d _ { v } f \ \ .
1494,"\mathcal { F } _ { \{ q , r , t \} } \left( \xi _ { \left\{ q , r , t \right\} } \right) : = -"
1495,F _ { a b } = X _ { a } A _ { b } - X _ { b } A _ { a } - f _ { a b } ^ { c } A _ { c }
1496,"\Lambda \to \frac { 1 } { \lambda } \, \Lambda \, ."
1497,"x ( u , w ) = { \frac { \sigma ( w - u ) } { \sigma ( w ) \sigma ( u ) } }"
1498,"a _ { r } = \int d U \chi _ { r } ^ { * } ( U ) f ( \operatorname* { d e t } U , T r U , \cdots ) ."
1499,"( x _ { 1 } , . . , x _ { d } ) = ( x _ { 1 } , . . , x _ { d - 2 s } , 0 , . . 0 ) ,"
1500,\sum _ { A = 1 } ^ { 4 } \; | w ^ { A } | ^ { 2 } \; = \rho ^ { 2 } .
1501,"\delta _ { \alpha ^ { 1 } } \psi = i \alpha ( \alpha ^ { 1 } , a _ { \rho } ^ { 1 } ) * \psi ."
1502,\phi ^ { a b c } \rightarrow \phi ^ { d b f } P ^ { d a } P ^ { f c }
1503,R ( z ; g ) R ( z ^ { \prime } ; g ^ { \prime } ) = R ( z ; g ^ { \prime \prime } )
1504,"[ \hat { x } , \hat { p } ] = i \hbar ( 1 + \beta \hat { p } ^ { 2 } ) \; ,"
1505,"J ^ { - } = \frac { k } { 2 \pi } \mu , \, \, \, \, \, \, \, \, \, \, F _ { - \alpha } = 0 ."
1506,"\Psi ^ { * } ( g ) = \Psi \circ g \circ \Psi ^ { - 1 } \hspace { 2 c m } \forall g \in E n d \, W"
1507,{ \bf I } _ { { \cal D } \left( G \right) } \ = \ \sum _ { k _ { a } = 1 } ^ { 5 } \ { \ \Pi }
1508,( T _ { \Psi _ { G } } ) ^ { 5 } ( \underline { { \O } } ) = \underline { { \O } } [ 2 ] .
1509,\lambda _ { I } ^ { ( L ) } = { \frac { S _ { I } ^ { L } } { S _ { I = 0 } ^ { L } } }
1510,"M = \left( \begin{array} { c c } { G ^ { - 1 } } & { 0 } \\ { 0 } & { G } \\ \end{array} \right) ,"
1511,"\tau \equiv { \frac { \theta } { 2 \pi } } + i { \frac { 4 \pi } { g ^ { 2 } } } ,"
1512,"\psi = \left[ \begin{array} { c } { \xi } \\ { i \chi } \\ \end{array} \right] ,"
1513,"T _ { 1 1 } = 1 , \ T _ { 2 1 } = T _ { 3 1 } = T _ { 4 1 } = 0"
1514,"\delta _ { \alpha } A _ { \mu } = 0 , \quad \alpha = \alpha ^ { a } t ^ { a } = c o n s t ."
1515,"[ x _ { 2 n } , p _ { 2 m - 1 } ] _ { \star } = 2 i \ T _ { 2 n , 2 m - 1 }"
1516,"\Gamma \equiv C ^ { T } \, \dot { C } \, , \qquad \Gamma ^ { T } = - \Gamma \, ,"
1517,"- 2 k _ { \alpha } + k _ { \alpha + 1 } + k _ { \alpha - 1 } ,"
1518,x _ { \alpha ^ { \vee } } = Z _ { \alpha } - i \pi - x _ { \alpha }
1519,"\psi ( \Omega , \beta ) = \mathrm { e x p } ( \sqrt { 3 } \nu \beta ) \chi ( \Omega ) ,"
1520,"- \frac { 1 } { r _ { 0 } } + \frac { 1 } { R _ { 0 } - r _ { 0 } } ,"
1521,"\left| \mathrm { A r g } \left( \beta + \mu _ { 1 } \right) \right| < \pi ,"
1522,\partial \psi / \partial t = i \hbar / 2 m _ { p } \ { \nabla } ^ { 2 } \psi
1523,"2 g _ { 3 } ^ { 2 } \, x + \sigma ( 1 + \sigma ) ( 1 + 2 \sigma ) = 0 \ ."
1524,"{ \bf r } _ { n e } = { \bf R } _ { n } + { \bf \rho } _ { j } ,"
1525,\Psi ^ { ( \pm ) } = \frac { 1 } { 2 } ( 1 \pm \Gamma ^ { 7 } ) \Psi
1526,\theta _ { j k } = - { \frac { 1 } { 2 \pi } } F _ { j k } + { \frac { 1 } { N } } M _ { j k } .
1527,"\phi ^ { - 2 } \sim G \sim m _ { p } ^ { - 2 } ~ ,"
1528,- e _ { 0 } \cdot \theta _ { s } \leq p - h .
1529,"v _ { I I } ( z ) = { \frac { 2 z - 1 } { 2 z ^ { 2 } - 2 z + 1 } } \, ."
1530,\begin{array} { r c l } \end{array}
1531,"\chi = ( \kappa L _ { - 1 } - S _ { - 1 } S _ { 0 } ) R _ { \alpha } ^ { \epsilon } = 0 ,"
1532,"v _ { i } = - \sum _ { p \ne i } \beta _ { i p } ( T _ { i } \beta _ { p i } ) \, ."
1533,"\mu ( 0 ) = \pm 1 , \mathtt { \ } \widehat { \mu } ( i ) = - 1 , \mathtt { \ } i = 1 , \dots , q"
1534,\chi _ { \rho _ { i } } ( g _ { A } ) \phi ( g ^ { - 1 } x ) = d _ { \rho _ { i } } \phi ( x ) .
1535,"\tilde { C } _ { i , j } \; : = \; \Big ( t _ { i } , C t _ { j } \Big ) _ { L ^ { 2 } } \; ,"
1536,"( D S ) _ { \Gamma } = D _ { \Gamma \Gamma ^ { \prime } } S _ { \Gamma ^ { \prime } } ,"
1537,"0 = h ^ { - 1 } L ( Z ^ { \prime } ) h + h ^ { - 1 } d h - L ( Z ) \, ."
1538,"S = g \tau _ { k } \, S _ { k l } \, d x _ { l } , \qquad k , l = 1 , 2 , 3 \, ,"
1539,"\mathrm { \boldmath ~ B ~ } _ { ( e ) } \rightarrow \mathrm { \boldmath ~ - E ~ } _ { ( m ) } ,"
1540,\begin{array} { l l } { e _ { 3 } = e _ { 1 3 } ; } & { f _ { 3 } = e _ { 3 1 } } \\ \end{array}
1541,V _ { G } ( \phi _ { 0 } ) = V _ { G E P } ( \phi _ { 0 } ) + \Delta V _ { G } ( \phi _ { 0 } )
1542,S _ { i j } ( \l ) = P _ { i j } R _ { i j } ( \l )
1543,u ^ { i } \equiv \frac { \delta \Gamma } { \delta h _ { i } } .
1544,H = \frac { 1 } { K _ { d } L _ { d } } \frac { h ^ { d - 2 } } { r ^ { d - 2 } }
1545,"\vartheta _ { j } \in \{ h _ { j } \, , \, y _ { j } \, , \, c _ { j } \, , \, w _ { j } \}"
1546,"m L \sim ( m z _ { M } ) ^ { b / 2 } \, ."
1547,\int d ^ { 2 } y ~ \nu _ { y } ^ { ( 0 ) } ( x ) K ^ { ( 0 ) } ( y ) = - \Omega _ { 1 } ( x ) = 0
1548,\kappa = \left( \frac { 8 \pi } { 3 \sqrt { 3 } } e ^ { 1 - \gamma _ { E } } \right) ^ { 1 0 }
1549,\rho ( \phi ) \propto \sqrt { 2 - m _ { 0 } ^ { 2 } \phi ^ { 2 } }
1550,"\Gamma _ { 1 1 } \, \chi = \chi"
1551,"s h _ { 1 } + \lambda = \partial _ { j } \rho ^ { j } ,"
1552,H _ { } ( \mathrm { l o w } ) + H _ { \mathrm { f r e e } } ( \mathrm { h i g h } ) + V
1553,"\langle \Phi _ { r } ^ { c } , \Phi _ { s } \rangle = \delta _ { r s } ."
1554,"F _ { 0 } ( x , y ) = e ^ { 2 k | y | } \left( 1 + l ^ { 2 } f _ { 0 } ( y ) \right) R ( x )"
1555,"\{ F , G \} ="
1556,- \frac { \eta ^ { 2 } \alpha } { \alpha + N } < \gamma < 0
1557,"\delta \ \ell n \langle A + \vert A - \rangle = L ( \delta A , A ) + \ell ( \delta A , A )"
1558,"S = \int d ^ { 2 } x \, \sqrt { - g } [ e ^ { \lambda } R - V ( \lambda ) ] ,"
1559,A _ { N C } \sim A _ { C } { v o l ( x ^ { - } ) } ^ { ( m - 2 ) / 2 }
1560,"\Phi _ { - } ( + ) \; = \; \Phi _ { - } ^ { \dagger } ( - ) ,"
1561,( 2 \sigma | _ { d P _ { 9 } } + \gamma F ) \cdot \sigma | _ { d P _ { 9 } } = \gamma - 2 .
1562,T _ { \mu \nu } \equiv T _ { \mu \nu } ^ { ( 0 ) } + T _ { \mu \nu } ^ { ( P L ) } = 0
1563,B _ { M N } \rightarrow B _ { M N } + \partial _ { [ M } \Lambda _ { N ] }
1564,{ \cal A } = - { \frac { 1 } { k ^ { d + 1 } } } { \bf a } _ { ( d ) } .
1565,"F _ { a b } \equiv d ( X _ { a } d X _ { b } ) , \, \, a , b = 1 , \ldots , 9 ."
1566,{ \sum _ { k \ge 1 } t _ { 2 k - 1 } I _ { 2 k - 1 } ( B ) }
1567,"V ( \phi ) = \mu ^ { 2 } \phi ^ { \dagger } \phi + \lambda ( \phi ^ { \dagger } \phi ) ^ { 2 } ,"
1568,A ^ { \prime } = A + u d u ^ { * } .
1569,"V _ { i j } ~ = ~ \mathrm { d i a g } \{ \delta _ { i } \} \, ."
1570,g ( r ) = - { \frac { 2 M } { r } } + { \frac { \sqrt { r ^ { 2 } - l _ { p l } ^ { 2 } } } { r } }
1571,"{ \cal L } = { \cal L } _ { B } + { \cal L } _ { F } + { \cal L } _ { Y } - U ,"
1572,P _ { T } = 2 \Bigl ( \sum _ { j = 1 } ^ { n } \frac { T } { T _ { j } } \Bigl )
1573,"W ^ { n o n - p e r t } \propto { ( d e t \Pi ^ { \prime } ) } ^ { 1 / N } e ^ { 3 S / 2 b } ,"
1574,\nabla q ^ { I } = d q ^ { I } + g A ^ { \Lambda } k _ { \Lambda } ^ { I } ( q )
1575,V = \int _ { \sigma } d S _ { j } R _ { j } ( \xi _ { i } )
1576,"\delta _ { I } \, Y ^ { J } \, = \, f _ { \phantom { Y } I K } ^ { J } \, Y ^ { K }"
1577,"D ( x , y ) = - i \frac { \partial } { \partial x } \delta ( x - y ) - i c ( x , y )"
1578,"\delta \theta = \left( 1 + \Gamma \right) \kappa + \epsilon _ { \mathrm { u n b r } } = 0 \, ,"
1579,"\Delta M _ { 0 N N } = N m ^ { \ast } - M _ { 0 N N } > 0 \, ,"
1580,{ \frac { d W } { d \Phi } } \bigg | _ { \Phi _ { U } } = 0
1581,"A ^ { l } = Q ^ { l } + \mathrm { i } P _ { l } , \qquad l = 1 , \ldots , n ."
1582,"r _ { 0 } ^ { 4 } m ^ { 2 } = | Q | \| \tau _ { \perp } \| _ { \infty } ^ { 2 } ~ ,"
1583,"V = \sum _ { i = 1 } ^ { 5 } \vert \partial _ { i } W \vert ^ { 2 } ,"
1584,{ \frac { \delta W _ { Q } } { \delta g _ { \mu \nu } } } = 0
1585,"\gamma ( r ) = - \frac 3 2 e ^ { - 2 W } \frac { k Z } { r ^ { 2 } } + 3 g X ^ { I } V _ { I } \, ."
1586,"\phi _ { 1 } = \frac { m } { q \lambda } , \qquad \phi _ { 2 } = - \frac { m } { q \lambda } ."
1587,"F = E - T S = { \frac { ( r _ { + } - Q ) ^ { 2 } } { 2 r _ { + } } } - \pi T r _ { + } ^ { 2 } ,"
1588,"\delta _ { R } \tilde { \lambda } = - \partial ^ { i } \lambda _ { i } + M \lambda ,"
1589,K ^ { 1 / 2 } \sim g ^ { - 1 } N ^ { - 0 . 5 4 ( 1 ) } \sim R ^ { - 1 } .
1590,W = \tilde { S } T T - \frac { 1 } { 2 m } ( A \tilde { S } ) ^ { 2 } .
1591,"\left[ \Omega _ { 0 } , \Omega _ { 0 } \right] = 0 ,"
1592,"F _ { a b c d } = e \, \varepsilon _ { a b c d } ~ ."
1593,Z = \int { \cal D } { \bf B } e x p \bigg \{ - { \frac { 4 \pi } { g } } \varepsilon ^ { l m n }
1594,V _ { R R } = N _ { b } V _ { R R } ^ { ( b ) } + N _ { f } V _ { R R } ^ { ( f ) }
1595,v ^ { 2 } = { \frac { 2 D _ { 2 } C } { L ^ { 2 } } } M ^ { D - 1 } .
1596,m _ { \phi } f _ { \phi } = \frac { 4 \sqrt { 3 } } { q \varrho ^ { 2 } } .
1597,n _ { 1 } = 3 ( 2 \pi l ) ^ { 2 } \delta ^ { ( 4 ) } ( \mathrm { { \bf ~ x } } ) .
1598,"\left( y ^ { a _ { 2 k } } , \pi _ { a _ { 2 k } } \right) , \; k = 1 , \cdots , b ,"
1599,s _ { \Gamma _ { c l } } \Delta _ { \lambda } = 0 \; \; \; .
1600,V = \Psi _ { i _ { 1 } . . . i _ { l } } n _ { i _ { 1 } } . . . n _ { i _ { l } } + . . .
1601,"[ D _ { \mu } , D _ { \nu } ] ~ = ~ 0"
1602,a a _ { p + 1 } = - { \frac { 4 ( D - p - 4 ) } { ( D - 2 ) ^ { 2 } } } .
1603,\hat { Q } _ { 4 } = \int _ { S ^ { 4 } } [ F - K \wedge B ] \ .
1604,f _ { N } \longrightarrow f \quad \mathrm { a s } \quad N \rightarrow \infty
1605,\Delta x _ { 1 } ^ { 2 } + \Delta y _ { 1 } ^ { 2 } = ( v _ { 1 } \Delta t ) ^ { 2 }
1606,\tau ( i \xi ^ { 1 } ) = i \frac { \partial } { \partial p _ { m } } .
1607,\delta X ^ { m } = \epsilon ^ { I } \xi _ { I } ^ { m } .
1608,B ( x ) = \int ( b ( \theta ) e ^ { - i p x } + b ^ { J } ( \theta ) e ^ { i p x } ) d \theta
1609,\operatorname* { l i m } _ { x \rightarrow + \infty } y _ { i } = - \sqrt { v _ { N - i } } .
1610,\beta _ { 2 } ^ { ( 6 ) } = K _ { 4 } ^ { 2 } \times 2 . 8 9 2 2 0 4 \ldots \; .
1611,"\beta ( \varphi _ { L } ( 0 , t ) + \varphi _ { R } ( 0 , t ) ) / 2"
1612,\qquad \qquad \qquad \qquad \qquad \qquad \qquad \qquad \qquad \qquad \qquad \qquad = \quad 0
1613,"\frac { S _ { 0 } ^ { e n / I I } } { S _ { 0 , e n / I I } } < e n / I I | C | e n / I I >"
1614,"M _ { 1 } - T r ( M _ { 1 } ) { \cal I } _ { 2 } + M _ { 1 } ^ { - 1 } = 0 ,"
1615,E = 4 \pi
1616,"R _ { i j } ( a \ast f _ { i h } ) = ( f _ { j i } \ast a ) R _ { h i } ,"
1617,"S = S _ { b u l k } + S _ { s o u r c e } ^ { ( p ) } ,"
1618,"n = ( \mathrm { o d d ~ i n t e g e r } ) 2 ^ { c } 1 6 ^ { d } ,"
1619,J ^ { i j } = T ^ { + i ( j ) } - T ^ { + j ( i ) }
1620,"Z _ { m } ^ { T } ~ ~ = ~ ~ { \cal Z } ( 1 , 1 , \dots , 1 ) ~ ~ ."
1621,\sum _ { i = 1 } ^ { N } ( r _ { i } + 1 ) = 0
1622,U ( r ) = { \frac { r } { ( r ^ { 2 } - l _ { p l } ^ { 2 } ) ^ { \frac { 1 } { 2 } } } }
1623,"\alpha ^ { [ i ] } = \ell _ { \mathrm { p o l e } } = \lambda ^ { [ i ] } - 1 \, ."
1624,\pi _ { 2 } ( \delta ^ { 2 } + \delta \theta ) = 0 .
1625,"{ \cal H } \equiv 2 F { \cal L } _ { F } - { \cal L } ,"
1626,"i \left[ H _ { 1 } , \Omega _ { 0 } \right] + i \left[ H _ { 2 } , \Omega _ { 1 } \right] = 0 ."
1627,R = { \mathrm { e x p } } \{ \frac { 2 \pi i } { n } \left( J _ { 6 7 } + k J _ { 8 9 } \right) \}
1628,\zeta _ { r } ( s ) = \zeta _ { O _ { \ell } } ( s ) - \zeta _ { P _ { \ell } } ( s )
1629,"{ \{ \tilde { A } , \Phi _ { D + 1 } \} } ^ { * } \vert _ { \Phi = 0 } = 0 ."
1630,"a \rightarrow a ( \alpha j ) , b \rightarrow b ( \beta l )"
1631,\Delta ^ { ( n + 2 ) } = ( g ^ { 0 0 } ) ^ { 3 n + 4 } ( - g ) ^ { - 3 / 2 } .
1632,t _ { i } ^ { r s } = < r | \left( - i K _ { i } \right) | s > .
1633,r _ { E } = r _ { S } \frac { \Lambda ^ { 2 } } { \Lambda ^ { 2 } - E ^ { 2 } }
1634,"T r \; c ^ { 3 } \; - \; T r \; \overline { { c } } ^ { 3 } \; = \; s \; ( . . . ) \; ,"
1635,"( { \cal S } ^ { \prime } , { \cal S } ^ { \prime } ) ^ { \prime } = 0 \; ,"
1636,"X _ { L } = \underline { { 3 } } \oplus \underline { { 8 } } + X _ { o b s e r v e d } ,"
1637,"\pi _ { 1 } ( N ) \sim \int _ { 2 } ^ { N } \frac { 1 } { \operatorname { l n } ( x ) } d x \, ."
1638,"A = A ( z ^ { i } ( p , q , d _ { i j k } ) , p , q , d _ { i j k } ) ,"
1639,"\mathrm { \ n u } \mathcal { N } _ { \phi } = \mathcal { N } _ { e } ,"
1640,"\langle \Phi | \Psi \rangle \equiv \int \overline { { \Phi } } \Psi d ^ { 4 } x ,"
1641,- \frac { \beta ^ { 2 } - 2 4 \pi } { 1 9 2 \pi ^ { 2 } \chi } .
1642,"[ X _ { i k l } , X _ { i j k } + X _ { i j l } + X _ { j k l } ] \quad i < j < k < l ;"
1643,S p i n \; \; 1 \oplus 0 \; \; g e n e r a t o r s \; :
1644,"\mathrm { { \bf Q } } = \mathrm { d i a g } ( q _ { 1 } , q _ { 2 } , \cdots , q _ { N } ) ."
1645,"G _ { a a } \ = \ \mathrm { e } ^ { 2 \eta _ { a } } \ \ \ \ \ \mathrm { ~ } \ a = 6 , \ldots , 9"
1646,{ \cal H } = \bigoplus _ { \{ \lambda \} } { \cal H } _ { \lambda }
1647,"\: k \geq 1 \; \mathrm { a n d } \; k \leq - \, n - 1 \:"
1648,\rho ( \lambda ) = \frac { 1 } { \pi } \sqrt { 2 ( E _ { F } ^ { 0 } - V ) }
1649,E ( T ) = \frac { 1 } { 1 5 } \pi ^ { 2 } T ^ { 4 } .
1650,\left[ \mu _ { M } \pm i e ^ { - i \phi } L _ { M P } \mu _ { c } ^ { P } \right]
1651,\frac { \Delta \theta _ { D } } { x _ { * } } > > 1 .
1652,"\Lambda = 1 + \frac { \widehat { B } _ { M } ^ { 2 } } { 4 } \rho ^ { 2 } ,"
1653,"\sum _ { r = 1 } ^ { 3 } { \frac { 1 } { \alpha _ { r } } } A ^ { ( r ) } C A ^ { ( r ) T } = 0 ,"
1654,w _ { l } = \frac { q ^ { l + 1 } + q ^ { - l } } { q + 1 } .
1655,"\epsilon _ { L } = \Gamma ^ { 0 1 2 3 } \epsilon _ { R } ~ ~ ,"
1656,[ N + 1 ] _ { q } - q ^ { \alpha } [ N ] _ { q } = q ^ { - \alpha ( N + \beta ) } .
1657,\omega _ { \cal C } = \sum _ { s \in \cal S } d i m ( s ) s
1658,"P ^ { \mu } = \int \tilde { d k } k ^ { \mu } \overline { { a } } ( k ) a ( k ) ,"
1659,"\delta G _ { T } ( z ) = M G _ { T } ( z ) - G _ { T } ( z ) \hat { M } _ { 0 } ( z ) \, ,"
1660,"{ \cal I } _ { I J } \, \equiv \, { \hat { c } } _ { I } \, \cap \, { \hat { c } } _ { J } \ ."
1661,\int d ^ { 2 } \xi A _ { \mu } \partial _ { + } X ^ { \mu } .
1662,\omega = d \eta \wedge d \operatorname { l o g } \frac { \xi } { \rho } .
1663,"Z = 1 , \ \ \ \ C ( \Phi ) = C _ { 1 } \Phi , \ \ \ \ V = 0 ,"
1664,"B ^ { \hat { I } \alpha } \equiv d A ^ { \hat { I } \alpha } + \mathrm { \, \, f e r m i o n s }"
1665,"1 / g _ { \mathrm { Y M } } ^ { 2 } \sim ( R M _ { H } ) ^ { 6 } / g _ { H } ^ { 2 } \ ,"
1666,"f _ { 1 } = n _ { 1 } \cup o _ { 1 } , \qquad f _ { 2 } = n _ { 2 } \cup o _ { 2 } ."
1667,"< A B \mid C D > + < C B \mid A D > = 2 < A \mid C > < B \mid D > ,"
